doc_id,filename,document_type,pages,segments,segments_retrievable,segments_dropped,bytes,sha256,archive_collection,archive_url,manuscript_ref,file_mtime_utc
78-a13-contingency-checklist,78-a13-contingency-checklist.pdf,checklist,127,112,92,20,28276163,369ca23bd0292adc753b264ab6c8488dfdbf112907fe306575b02fa65b25f04b,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07
a13-csm-sys-checklist,a13-csm-sys-checklist.pdf,checklist,102,96,91,5,23129986,06b02c6a9d7567ce95989e6dd18c32531d647c234e9da611c5be578f5f13c8fe,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07
77-a13-activation-checklist,77-a13-activation-checklist.pdf,checklist,80,71,64,7,13706903,4d499fa8817aecfd6471251c43e0e5bccf215c496816c19375b5db92ec1a87c0,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07
a13-nav-procs,a13-nav-procs.pdf,procedures,70,65,64,1,39875096,1567bd206eb1b182391a17dc39449fd95104099ee3c8f967c563d2584af8689b,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07
a13-flight-plan-rev-a,a13-flight-plan-rev-a.pdf,flight plan,84,55,54,1,14866010,cef7f752254e52b374f97a8fbe5360b13fa37c9f5dca574e9fbe1442be941839,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07
a13-flightplan-00-60,a13-flightplan-00-60.pdf,flight plan,56,54,48,6,13968257,fe39d0c06164bf13e6f2e0d2d2a131a57cf934a19c89dc6af3ad2da2e3d790e0,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07
a13-lm-timeline-19700316,a13-lm-timeline-19700316.pdf,flight plan,40,37,36,1,22216661,185ad656d8f68f5eea5e489b7219a5a26f39eb76673b5fd50d42e1b7943706a3,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07
75-a13-csm-entry-checklist,75-a13-csm-entry-checklist.pdf,checklist,32,24,21,3,6586092,3f1be027b4484436dddf7cf77ac0554e6296635dc1b67c4c37fceea6799fca83,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07
a13-lm-data-card-book-final-19700330,a13-lm-data-card-book-final-19700330.pdf,data card book,18,18,16,2,842894,9cbf7e70b704438d0bef6a5d7f47f9eaa572747c3d0fbaa95fd87143811c4e79,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07
79-a13-lm-data-card-book,79-a13-lm-data-card-book.pdf,data card book,22,17,15,2,6281888,80d4a0e923cecad646f306a8f57036e6f7d6db10f26d26a3afe1cd3c7b91fdc4,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07
a13-flightplan-54-splash,a13-flightplan-54-splash.pdf,flight plan,19,16,14,2,5371869,4ca1ee58d89d723b28ea261b5f65ad8b48c244c8571cc56c6e371c50eed5f8c3,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07
a13-span-c-tank-qty2-proc,a13-span-c-tank-qty2-proc.pdf,procedures,2,2,1,1,8681360,f249fe40e3119b0b61e5f9a7867e740cfee6e5bcec5ed7f4589a969b62535053,Apollo Flight Journal - General Apollo Documents,https://apollojournals.org/afj/documents.html,[19],2026-07-07
